,ID,metro_kremlin,house_kremlin,sq,floor,height,price,deposit,rooms,child,animal,euro,design,cosmetic,no_rem,area_code_skl,type_h_skl
15348,262462349,1.668,2.009,190.0,2,16,750000,750000,4.0,1,1,0,1,0,0,6.0,3.0
3997,269478011,1.06,1.772,127.0,2,8,750000,750000,3.0,1,1,0,1,0,0,6.0,4.0
13849,272900306,13.184,10.889,305.0,2,2,750000,750000,6.0,1,1,0,1,0,0,1.0,4.0
12459,274211695,4.819,2.031,190.0,3,7,750000,750000,4.0,0,0,0,1,0,0,6.0,4.0
12433,272072640,1.315,0.729,180.0,4,7,750000,750000,2.0,1,1,0,1,0,0,6.0,3.0
15430,259409632,0.547,2.009,190.0,2,16,750000,750000,4.0,1,0,1,0,0,0,6.0,3.0
15266,263317410,16.671,2.009,189.0,2,11,750000,750000,4.0,1,1,1,0,0,0,6.0,3.0
7214,273393237,13.722,2.328,275.0,9,9,750000,750000,6.0,1,0,1,0,0,0,6.0,2.0
12443,272263730,1.315,2.031,190.0,3,8,750000,750000,4.0,1,1,0,1,0,0,6.0,4.0
11272,273485625,11.759,7.797,176.0,7,10,750000,800000,3.0,0,0,0,1,0,0,3.0,3.0
17003,266972998,0.711,2.794,235.0,9,11,750000,750000,5.0,1,1,0,1,0,0,6.0,4.0
19091,272716584,10.801,10.801,240.0,4,6,750000,750000,5.0,0,1,0,0,0,0,3.0,4.0
28,228923308,0.593,1.275,256.0,8,10,750000,750000,5.0,1,1,0,1,0,0,6.0,2.0
15349,259699575,1.668,2.009,190.0,4,17,750000,750000,4.0,1,1,1,0,0,0,6.0,4.0
12869,270252916,5.905,7.797,177.0,5,10,750000,750000,3.0,1,1,0,1,0,0,3.0,3.0
5249,274455082,15.84,15.84,310.0,4,6,700000,700000,5.0,1,1,1,0,0,0,5.0,4.0
3963,274341456,2.29,1.591,140.0,4,8,700000,700000,4.0,1,0,0,1,0,0,6.0,4.0
9281,274320481,3.904,1.591,140.0,4,8,700000,1400000,4.0,1,0,0,1,0,0,6.0,4.0
76,273785185,0.593,2.059,140.0,25,26,700000,700000,4.0,1,1,1,0,0,0,6.0,4.0
10435,274578636,10.07,10.07,186.0,13,16,700000,700000,4.0,1,0,0,1,0,0,1.0,2.0
3960,274145384,3.074,1.591,140.0,4,8,700000,700000,4.0,1,0,1,0,0,0,6.0,4.0
15307,274216802,0.547,1.642,234.0,5,10,700000,700000,4.0,1,1,0,1,0,0,6.0,4.0
15289,262392189,1.668,1.642,232.0,5,10,700000,700000,4.0,1,0,0,0,0,0,6.0,3.0
15347,273123682,1.668,1.668,290.0,20,20,700000,700000,5.0,1,1,0,1,0,0,9.0,3.0
3505,264495315,6.686,5.71,186.0,13,16,700000,700000,4.0,1,0,0,0,0,0,1.0,4.0
12529,273448853,0.547,2.031,164.0,6,9,700000,700000,3.0,0,0,1,0,0,0,6.0,2.0
3555,274541388,15.235,7.625,150.0,1,3,700000,790000,3.0,1,1,0,1,0,0,1.0,1.0
15273,271446200,16.496,1.642,234.0,5,10,700000,700000,4.0,1,0,0,0,0,0,6.0,2.0
15428,272378937,0.547,1.642,234.0,5,10,700000,700000,4.0,1,0,0,1,0,0,6.0,3.0
2647,242618535,2.454,1.463,170.0,8,10,700000,700000,5.0,1,1,0,0,0,0,6.0,2.0
317,272284525,0.853,1.371,220.0,4,5,700000,700000,6.0,1,0,0,0,0,0,6.0,4.0
6065,269223275,1.053,2.111,400.0,8,8,700000,700000,6.0,1,1,1,0,0,0,6.0,1.0
18975,266533620,18.912,18.912,310.0,4,5,700000,700000,5.0,0,0,1,0,0,0,3.0,4.0
2705,244500393,1.294,1.55,255.0,2,3,700000,700000,6.0,1,1,1,0,0,0,6.0,4.0
17265,273673272,10.914,10.732,74.0,24,24,700000,70000,3.0,1,1,0,0,1,0,0.0,5.0
17105,273741461,3.312,2.197,260.0,6,12,700000,700000,5.0,1,1,0,1,0,0,6.0,4.0
12480,272888196,4.819,1.349,178.0,3,5,700000,700000,5.0,1,1,0,1,0,0,6.0,4.0
6122,269048945,1.756,2.111,400.0,9,11,700000,700000,6.0,1,1,0,0,1,0,6.0,4.0
6121,274884841,1.868,2.111,400.0,8,8,700000,700000,6.0,0,0,1,0,0,0,6.0,3.0
11330,274930921,5.905,8.031,323.3,6,17,700000,700000,6.0,1,1,0,1,0,0,3.0,4.0
19089,271497271,10.801,10.801,320.0,4,6,700000,700000,5.0,1,0,0,1,0,0,3.0,3.0
64,274810876,2.224,2.224,215.0,5,5,700000,700000,4.0,0,0,1,0,0,0,6.0,1.0
9266,259346747,12.412,3.637,400.0,14,14,690000,690000,5.0,1,0,0,0,0,0,6.0,2.0
4048,274985294,0.711,2.005,250.0,6,7,670000,670000,4.0,0,0,0,1,0,0,6.0,4.0
4030,274847729,2.44,2.005,250.0,7,8,670000,670000,4.0,1,0,0,1,0,0,6.0,2.0
83,273114736,2.224,2.438,170.0,4,7,650000,650000,4.0,1,1,0,1,0,0,6.0,4.0
12868,274501088,7.772,7.797,177.0,8,10,650000,700000,3.0,1,1,0,1,0,0,3.0,3.0
15894,259233967,8.242,5.018,196.0,4,4,650000,650000,5.0,1,1,1,0,0,0,9.0,4.0
4062,274785890,1.698,1.478,275.0,5,5,650000,650000,4.0,0,0,0,1,0,0,6.0,4.0
12867,241610704,6.881,7.797,146.0,6,10,650000,650000,3.0,0,0,0,1,0,0,3.0,3.0
12866,262837382,8.735,7.797,150.0,9,10,650000,650000,3.0,1,1,0,0,1,0,3.0,3.0
9377,269228723,3.904,4.951,190.2,65,76,650000,650000,3.0,1,1,0,1,0,0,6.0,4.0
17034,274018548,1.957,2.794,169.4,4,10,650000,650000,4.0,0,0,0,0,0,0,6.0,2.0
17023,274193332,2.076,2.794,170.0,4,10,650000,650000,4.0,1,0,0,1,0,0,6.0,4.0
9265,239000397,12.412,4.951,184.0,23,73,650000,650000,3.0,0,1,0,0,0,0,6.0,3.0
3985,274009465,1.756,3.916,135.0,8,12,650000,650000,3.0,1,0,0,1,0,0,6.0,4.0
12493,274095642,4.819,1.37,142.0,2,6,650000,650000,3.0,1,1,0,1,0,0,6.0,2.0
74,273785180,0.593,2.059,160.0,26,26,650000,650000,4.0,1,1,1,0,0,0,6.0,4.0
5196,273488296,8.929,12.741,360.0,6,7,650000,650000,6.0,1,1,1,0,0,0,3.0,2.0
15386,272421058,1.668,0.601,107.0,4,8,650000,650000,3.0,0,0,1,0,0,0,6.0,3.0
3978,272324339,2.44,0.601,107.0,4,8,650000,650000,3.0,1,1,0,1,0,0,6.0,3.0
9311,273542848,2.44,2.44,110.0,58,68,650000,649999,3.0,1,1,0,1,0,0,6.0,3.0
15346,272716041,1.668,0.601,110.0,4,8,650000,650000,3.0,0,1,1,0,0,0,6.0,4.0
75,273785183,0.593,2.059,140.0,25,26,650000,650000,4.0,1,1,1,0,0,0,6.0,4.0
3999,272383949,1.661,0.601,107.0,4,8,650000,650000,3.0,0,0,0,1,0,0,6.0,2.0
15427,272370642,1.668,0.601,107.0,4,8,650000,650000,3.0,1,1,0,1,0,0,6.0,1.0
3986,274930256,2.633,0.601,107.0,4,8,650000,650000,3.0,0,0,0,1,0,0,6.0,4.0
63,273798495,2.224,1.955,237.1,7,11,650000,650000,4.0,0,0,0,1,0,0,6.0,3.0
99,271097684,2.224,2.438,170.0,4,7,650000,650000,4.0,1,1,0,1,0,0,6.0,3.0
19088,274159085,10.801,12.741,360.0,6,7,650000,650000,6.0,1,0,1,0,0,0,3.0,4.0
19087,274997693,10.801,10.801,328.0,1,3,650000,650000,6.0,1,1,1,0,0,0,3.0,4.0
18974,274979117,18.912,18.912,328.0,1,5,650000,650000,6.0,0,0,0,0,0,0,3.0,3.0
100,273106501,0.435,0.753,338.0,5,6,650000,650000,6.0,1,1,0,0,0,0,6.0,1.0
6120,271452328,1.053,1.834,350.0,5,5,650000,650000,6.0,1,1,1,0,0,0,6.0,4.0
131,273687210,0.491,0.753,380.0,5,5,650000,650000,6.0,1,1,1,0,0,0,6.0,4.0
9378,271069865,3.904,1.176,150.0,4,7,650000,650000,4.0,0,0,1,0,0,0,6.0,4.0
9358,271305627,2.44,1.176,150.0,4,7,650000,650000,4.0,1,0,0,1,0,0,6.0,4.0
9357,274410819,2.676,4.951,232.0,49,62,649900,649900,3.0,1,1,0,1,0,0,6.0,3.0
7621,271427158,1.756,2.112,300.0,7,8,600000,600000,6.0,1,0,1,0,0,0,6.0,4.0
186,271983799,2.224,2.657,258.0,11,11,600000,600000,6.0,1,0,1,0,0,0,6.0,4.0
4047,272947106,1.668,2.045,182.0,5,5,600000,600000,4.0,1,0,1,0,0,0,6.0,4.0
3992,273729900,4.891,2.045,182.2,5,5,600000,600000,4.0,1,0,0,1,0,0,6.0,1.0
3965,274613679,2.29,4.951,222.0,40,75,600000,600000,3.0,1,0,0,0,1,0,6.0,3.0
7559,273820494,8.866,1.869,205.0,5,6,600000,600000,6.0,0,0,0,1,0,0,6.0,4.0
7570,271423037,1.756,1.869,205.0,4,6,600000,600000,6.0,1,0,1,0,0,0,6.0,1.0
6045,272956503,1.868,1.868,286.0,2,9,600000,600000,5.0,1,1,1,0,0,0,6.0,4.0
3994,274790790,4.891,2.045,182.0,5,5,600000,600000,4.0,0,0,0,1,0,0,6.0,4.0
41,241704098,2.224,2.41,168.0,4,16,600000,600000,4.0,1,0,0,0,0,0,6.0,2.0
19086,265270056,13.804,13.804,410.0,2,5,600000,600000,6.0,1,1,0,1,0,0,3.0,2.0
6155,274394381,4.533,4.533,236.0,1,9,600000,600000,5.0,0,0,0,1,0,0,6.0,2.0
6119,273256198,2.74,2.74,230.0,1,10,600000,600000,5.0,0,0,1,0,0,0,6.0,2.0
19085,271992616,11.789,11.789,203.0,1,5,600000,600000,4.0,1,1,1,0,0,0,3.0,4.0
12472,269130186,1.315,1.915,160.0,5,6,600000,600000,3.0,1,0,0,1,0,0,6.0,1.0
6035,273007173,1.868,2.218,230.0,2,10,600000,600000,5.0,1,1,0,0,0,0,6.0,1.0
10504,273850364,8.366,8.366,282.0,18,38,600000,600000,6.0,1,0,0,1,0,0,1.0,3.0
185,270598847,2.224,2.082,190.0,4,5,600000,600000,4.0,1,1,1,0,0,0,6.0,4.0
5222,270886780,5.75,12.056,225.0,1,3,600000,600000,5.0,1,1,0,1,0,0,3.0,4.0
6040,259623649,3.487,3.487,230.0,1,9,600000,600000,5.0,1,1,0,1,0,0,6.0,4.0
130,267915862,2.224,1.781,336.0,4,4,590000,590000,6.0,1,1,0,1,0,0,6.0,1.0
98,271305644,0.593,1.781,336.0,4,5,590000,590000,6.0,0,0,0,1,0,0,6.0,4.0
10503,271252080,8.366,8.366,325.0,3,3,590000,590000,6.0,1,1,0,1,0,0,1.0,3.0
32,269496185,2.224,2.082,190.0,4,5,590000,590000,4.0,1,0,0,1,0,0,6.0,2.0
62,166833883,0.593,1.297,260.0,6,8,590000,590000,6.0,1,1,0,1,0,0,6.0,1.0
3477,270413874,10.07,10.07,325.0,1,3,590000,590000,5.0,1,1,0,1,0,0,1.0,4.0
129,269515978,2.224,2.082,186.0,4,6,590000,590000,4.0,1,0,0,0,0,0,6.0,1.0
22,274849101,2.224,2.082,190.0,4,5,590000,590000,4.0,0,0,0,1,0,0,6.0,4.0
6125,272451298,1.868,2.111,228.0,9,11,590000,590000,5.0,1,1,0,1,0,0,6.0,3.0
184,267743247,2.224,1.781,336.0,4,4,590000,590000,6.0,1,1,1,0,0,0,6.0,4.0
40,269889430,2.224,2.082,190.0,4,6,590000,590000,4.0,0,1,0,0,0,0,6.0,4.0
18800,268897062,12.569,12.282,330.0,2,12,588000,588000,6.0,1,0,0,1,0,0,3.0,2.0
3971,271807342,3.312,2.794,203.0,5,9,570000,570000,5.0,1,1,0,1,0,0,6.0,2.0
17104,271547233,2.44,2.794,203.0,5,9,570000,570000,5.0,0,0,1,0,0,0,6.0,3.0
